name,year,lon,lat
Santa Maria la Antigua del Darien,1510,-77.021361,8.21486
Panama City,1519,-79.516667,8.983333
Cumaná,1521,-64.1675,10.456389
Santa Marta,1525,-74.205278,11.241944
Piura,1532,-80.633333,-5.2
Sao Vicente,1532,-46.392222,-23.963333
Cartagena,1533,-75.5,10.4
Cuzco,1533,-71.972222,-13.525
Quito,1534,-78.5125,-0.22
Trujillo,1534,-79.0288,-8.112
Lima,1535,-77.0375,-12.06
Asunción,1537,-57.633333,-25.3
Olinda,1537,-34.883333,-8
Bogotá,1538,-74.072222,4.711111
Sucre,1538,-65.26,-19.0475
Santiago de Chile,1544,-70.666667,-33.45
Potosí,1545,-65.753333,-19.589167
La Paz,1548,-68.15,-16.5
Salvador da Bahia,1549,-38.516667,-12.983056
Concepción,1550,-73.051369,-36.828194
Huancavelica,1563,-74.975556,-12.786389
Rio de Janeiro,1567,-43.205556,-22.911111
Caracas,1567,-66.903611,10.480556
Cochabamba,1574,-66.166667,-17.383333
Buenos Aires,1580,-58.381667,-34.603333
